feature_id,gene_symbol,mapping_source_column,has_gene_symbol
7900531,GUCA2B,gene_assignment,True
7900540,RIMKLA,gene_assignment,True
7900546,PPCS,gene_assignment,True
7900555,CCDC30,gene_assignment,True
7900576,PPIH,gene_assignment,True
7900585,YBX1,gene_assignment,True
7900597,BC001508,gene_assignment,True
7900603,ENST00000438946,gene_assignment,True
7900609,ERMAP,gene_assignment,True
7900624,ZNF691,gene_assignment,True
7900633,,,False
7900635,FAM183A,gene_assignment,True
7900639,WDR65,gene_assignment,True
7900652,,,False
7900654,TMEM125,gene_assignment,True
7900658,TIE1,gene_assignment,True
7900683,MPL,gene_assignment,True
7900699,CDC20,gene_assignment,True
7900710,KIAA0467,gene_assignment,True
7900792,PTPRF,gene_assignment,True
7900833,KDM4A,gene_assignment,True
7900857,ST3GAL3,gene_assignment,True
7900878,ARTN,gene_assignment,True
7900888,IPO13,gene_assignment,True
7900911,DPH2,gene_assignment,True
7900922,ATP6V0B,gene_assignment,True
7900931,B4GALT2,gene_assignment,True
7900944,CCDC24,gene_assignment,True
7900957,KLF17,gene_assignment,True
7900962,DMAP1,gene_assignment,True
7900977,,,False
7900979,RNF220,gene_assignment,True
7900999,C1ORF228,gene_assignment,True
7901010,KIF2C,gene_assignment,True
7901038,RPS8,gene_assignment,True
7901046,SNORD55,gene_assignment,True
7901048,SNORD46,gene_assignment,True
7901050,SNORD38A,gene_assignment,True
7901052,SNORD38B,gene_assignment,True
7901054,PLK3,gene_assignment,True
7901073,UROD,gene_assignment,True
7901087,HPDL,gene_assignment,True
7901091,TOE1,gene_assignment,True
7901102,MMACHC,gene_assignment,True
7901110,AKR1A1,gene_assignment,True
7901123,NASP,gene_assignment,True
7901135,TMEM69,gene_assignment,True
7901140,MAST2,gene_assignment,True
7901175,TSPAN1,gene_assignment,True
7901187,C1ORF190,gene_assignment,True
7901192,RAD54L,gene_assignment,True
7901212,UQCRH,gene_assignment,True
7901219,NSUN4,gene_assignment,True
7901229,FAAH,gene_assignment,True
7901247,DMBX1,gene_assignment,True
7901253,BC144026,gene_assignment,True
7901256,CYP4B1,gene_assignment,True
7901272,CYP4X1,gene_assignment,True
7901287,CYP4Z1,gene_assignment,True
7901293,CYP4A22,gene_assignment,True
7901299,CMPK1,gene_assignment,True
7901309,FOXE3,gene_assignment,True
7901311,FOXD2,gene_assignment,True
7901314,,,False
7901316,SLC5A9,gene_assignment,True
7901334,,,False
7901336,STRADB,gene_assignment,True
7901338,,,False
7901340,,,False
7901342,ELAVL4,gene_assignment,True
7901357,,,False
7901359,,,False
7901363,CDKN2C,gene_assignment,True
7901374,,,False
7901376,RNF11,gene_assignment,True
7901383,,,False
7901385,OSBPL9,gene_assignment,True
7901416,,,False
7901418,BTF3L4,gene_assignment,True
7901426,ZFYVE9,gene_assignment,True
7901443,,,False
7901445,,,False
7901447,PRPF38A,gene_assignment,True
7901460,GPX7,gene_assignment,True
7901466,FAM159A,gene_assignment,True
7901477,,,False
7901479,ZYG11B,gene_assignment,True
7901497,ZYG11A,gene_assignment,True
7901513,SCP2,gene_assignment,True
7901535,PODN,gene_assignment,True
7901549,CPT2,gene_assignment,True
7901557,DMRTB1,gene_assignment,True
7901565,DIO1,gene_assignment,True
7901577,LRRC42,gene_assignment,True
7901592,BC035374,gene_assignment,True
7901601,MRPL37,gene_assignment,True
7901611,ENST00000361350,gene_assignment,True
7901613,ACOT11,gene_assignment,True
7901634,C1ORF175,gene_assignment,True
7901662,TTC4,gene_assignment,True
7901675,C1ORF177,gene_assignment,True
7901687,TMEM61,gene_assignment,True
7901691,BSND,gene_assignment,True
7901696,PCSK9,gene_assignment,True
7901714,,,False
7901720,PRKAA2,gene_assignment,True
7901732,C8A,gene_assignment,True
7901744,,,False
7901748,FGGY,gene_assignment,True
7901765,HOOK1,gene_assignment,True
7901788,NFIA,gene_assignment,True
7901802,BC034822,gene_assignment,True
7901804,INADL,gene_assignment,True
7901852,,,False
7901854,,,False
7901856,,,False
7901858,,,False
7901860,L1TD1,gene_assignment,True
7901867,USP1,gene_assignment,True
7901883,ANGPTL3,gene_assignment,True
7901895,ATG4C,gene_assignment,True
7901913,FOXD3,gene_assignment,True
7901915,ALG6,gene_assignment,True
7901931,EFCAB7,gene_assignment,True
7901948,DLEU2L,gene_assignment,True
7901951,PGM1,gene_assignment,True
7901967,,,False
7901969,ROR1,gene_assignment,True
7901982,UBE2U,gene_assignment,True
7901993,CACHD1,gene_assignment,True
7902023,RAVER2,gene_assignment,True
7902038,AK4,gene_assignment,True
7902043,DNAJC6,gene_assignment,True
7902072,,,False
7902074,LEPR,gene_assignment,True
7902102,,,False
7902104,PDE4B,gene_assignment,True
7902127,SGIP1,gene_assignment,True
7902158,TCTEX1D1,gene_assignment,True
7902166,MIER1,gene_assignment,True
7902189,IL23R,gene_assignment,True
7902205,IL12RB2,gene_assignment,True
7902223,,,False
7902225,,,False
7902227,GADD45A,gene_assignment,True
7902235,LRRC7,gene_assignment,True
7902265,,,False
7902267,PIN1P1,gene_assignment,True
7902269,SRSF11,gene_assignment,True
7902282,HHLA3,gene_assignment,True
7902290,CTH,gene_assignment,True
7902306,,,False
7902308,FPGT,gene_assignment,True
7902317,TNNI3K,gene_assignment,True
7902345,TYW3,gene_assignment,True
7902353,LHX8,gene_assignment,True
7902365,,,False
7902367,ACADM,gene_assignment,True
7902382,RABGGTB,gene_assignment,True
7902396,SNORD45C,gene_assignment,True
7902398,SNORD45A,gene_assignment,True
7902400,SNORD45B,gene_assignment,True
7902402,MSH4,gene_assignment,True
7902425,ST6GALNAC3,gene_assignment,True
7902435,TPI1,gene_assignment,True
7902439,,,False
7902441,ST6GALNAC5,gene_assignment,True
7902448,RPL17,gene_assignment,True
7902452,AK5,gene_assignment,True
7902474,,,False
7902476,BX537792,gene_assignment,True
7902493,,,False
7902495,NEXN,gene_assignment,True
7902512,DNAJB4,gene_assignment,True
7902518,GIPC2,gene_assignment,True
7902527,PTGFR,gene_assignment,True
7902541,IFI44L,gene_assignment,True
7902553,IFI44,gene_assignment,True
7902563,,,False
7902565,LPHN2,gene_assignment,True
7902592,ARID3B,gene_assignment,True
7902594,PRKACB,gene_assignment,True
7902611,,,False
7902615,,,False
7902617,SAMD13,gene_assignment,True
7902623,DNASE2B,gene_assignment,True
7902634,RPF1,gene_assignment,True
7902645,SPATA1,gene_assignment,True
7902660,WDR63,gene_assignment,True
7902685,,,False
7902687,CYR61,gene_assignment,True
7902700,,,False
7902702,CLCA2,gene_assignment,True
7902721,CLCA1,gene_assignment,True
7902738,CLCA4,gene_assignment,True
7902754,CLCA3P,gene_assignment,True
7902771,SH3GLB1,gene_assignment,True
7902787,,,False
7902789,HS2ST1,gene_assignment,True
7902799,LOC339524,gene_assignment,True
7902808,LOC339524,gene_assignment,True
7902810,LMO4,gene_assignment,True
7902822,PKN2,gene_assignment,True
7902848,,,False
7902850,GBP6,gene_assignment,True
7902861,LRRC8B,gene_assignment,True
7902874,LRRC8C,gene_assignment,True
7902883,LRRC8D,gene_assignment,True
7902891,ZNF326,gene_assignment,True
7902909,,,False
7902911,,,False
7902913,CDC7,gene_assignment,True
7902930,HSP90B3P,gene_assignment,True
7902934,BRDT,gene_assignment,True
7902957,EPHX4,gene_assignment,True
7902965,BTBD8,gene_assignment,True
7902977,KIAA1107,gene_assignment,True
7902984,C1ORF146,gene_assignment,True
7902992,RPAP2,gene_assignment,True
7903010,RPL5,gene_assignment,True
7903022,SNORD21,gene_assignment,True
7903024,,,False
7903028,,,False
7903032,MTF2,gene_assignment,True
7903049,CCDC18,gene_assignment,True
7903079,DR1,gene_assignment,True
7903090,,,False
7903092,FNBP1L,gene_assignment,True
7903115,,,False
7903117,,,False
7903119,ABCD3,gene_assignment,True
7903144,SLC44A3,gene_assignment,True
7903162,TMEM56,gene_assignment,True
7903171,RWDD3,gene_assignment,True
7903181,,,False
7903183,,,False
7903188,PTBP2,gene_assignment,True
7903203,SNX7,gene_assignment,True
7903214,LPPR4,gene_assignment,True
7903227,PALMD,gene_assignment,True
7903239,AGL,gene_assignment,True
