gse_id,level,gsm_id,file_url_or_value,looks_useful_for_expression
GSE57338,sample,GSM1379915,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379915/suppl/GSM1379915_C00165_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379916,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379916/suppl/GSM1379916_P01036_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379917,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379917/suppl/GSM1379917_P01039_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379918,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379918/suppl/GSM1379918_C00041_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379919,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379919/suppl/GSM1379919_C00042_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379920,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379920/suppl/GSM1379920_C00044_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379921,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379921/suppl/GSM1379921_C00045_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379922,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379922/suppl/GSM1379922_C00097_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379923,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379923/suppl/GSM1379923_C00098_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379924,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379924/suppl/GSM1379924_C00076_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379925,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379925/suppl/GSM1379925_C00096_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379926,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379926/suppl/GSM1379926_C00107_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379927,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379927/suppl/GSM1379927_C00083_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379928,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379928/suppl/GSM1379928_C02068_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379929,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379929/suppl/GSM1379929_C02069_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379930,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379930/suppl/GSM1379930_C02077_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379931,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379931/suppl/GSM1379931_C02080_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379932,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379932/suppl/GSM1379932_C02081_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379933,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379933/suppl/GSM1379933_C02092_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379934,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379934/suppl/GSM1379934_C02094_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379935,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379935/suppl/GSM1379935_C02095_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379936,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379936/suppl/GSM1379936_C02097_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379937,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379937/suppl/GSM1379937_C02109_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379938,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379938/suppl/GSM1379938_C02111_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379939,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379939/suppl/GSM1379939_C01954_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379940,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379940/suppl/GSM1379940_C01960_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379941,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379941/suppl/GSM1379941_C01990_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379942,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379942/suppl/GSM1379942_C01997_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379943,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379943/suppl/GSM1379943_C02031_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379944,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379944/suppl/GSM1379944_C02045_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379945,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379945/suppl/GSM1379945_C02057_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379946,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379946/suppl/GSM1379946_C02061_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379947,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379947/suppl/GSM1379947_C02116_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379948,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379948/suppl/GSM1379948_C02123_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379949,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379949/suppl/GSM1379949_C02083_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379950,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379950/suppl/GSM1379950_C02058_HuGene1.1ST.CEL.gz,True
GSE57338,sample,GSM1379951,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1379nnn/GSM1379951/suppl/GSM1379951_C02114_HuGene1.1ST.CEL.gz,True
