feature_id,missing_n,mean_expression,sd_expression
ACBD3,0,9.02376532751724,0.2666172554180579
ACBD4,0,6.1815378666827625,0.25199400937815875
ACBD5,0,6.472705845979311,0.21681196987599488
ACBD6,0,7.827815398648278,0.17860972899330607
ACBD7,0,5.9663046594275855,0.10338583748056551
ACCN1,0,6.078033112324137,0.09781495191838666
ACCN2,0,6.2609633098206885,0.1057807304534218
ACCN3,0,6.60710124277931,0.12873845826249258
ACCN4,0,6.051126251013795,0.08481040994973295
ACCN5,0,6.016804521668968,0.13944038068861794
ACD,0,7.030941190613793,0.1812357343641241
ACE,0,6.071378302689652,0.08605639011998091
ACE2,0,9.106288850420691,1.102697095478005
ACHE,0,6.137278137924136,0.0792846683465719
ACIN1,0,8.390264314379312,0.23079608369305363
ACLY,0,8.44246029071035,0.288607266748162
ACMSD,0,6.983624579055172,0.20857532640435336
ACN9,0,8.597025555303446,0.30526467663546486
ACO1,0,11.089963113310343,0.21537035495450732
ACO2,0,11.26098559903449,0.37165724275219875
ACOT1,0,8.695655160110345,0.4400684685459037
ACOT11,0,8.9553695082069,0.42829264914444265
ACOT12,0,6.139400540889652,0.1539228022629281
ACOT2,0,8.167564282068962,0.49384789549678065
ACOT4,0,6.620037848075862,0.2271089095615218
ACOT6,0,5.9492389858827615,0.125949565790764
ACOT7,0,6.881886383475863,0.24031951818565095
ACOT8,0,7.313374589627588,0.22314792943991957
ACOT9,0,8.65359775116552,0.2675248343548488
ACOX1,0,6.8543552358896545,0.2074547680045103
ACOX2,0,9.686415607124143,0.5116524973838564
ACOX3,0,8.525643118689652,0.19326473027148217
ACOXL,0,5.960970027406896,0.14613822082276237
ACP1,0,10.014965643868967,0.3132775783950335
ACP2,0,7.242395094365514,0.36083388545770073
ACP5,0,5.963165457110345,0.1438161673559091
ACP6,0,7.230836717172414,0.30052079906989615
ACPL2,0,8.00987519862759,0.4189017605558437
ACPP,0,5.986756900537933,0.1391337034501461
ACPT,0,6.8054628756068976,0.1958173307169833
ACR,0,6.336742194951722,0.13594155838416755
ACRBP,0,6.07823565966207,0.15434965044158552
ACRC,0,6.931065514482756,0.23055018280144055
ACRV1,0,6.136311302096553,0.10447680197716598
ACSBG1,0,6.222389548255172,0.19450319409642364
ACSBG2,0,6.074100611848276,0.13093328008340008
ACSF3,0,6.114653192834485,0.15535157549260975
ACSL1,0,10.1702291541931,0.5431740185299531
ACSL3,0,8.177913184979312,0.2038322375884363
ACSL4,0,7.962891057255172,0.29698043562227894
ACSL5,0,6.812384951213791,0.18486397423298975
ACSL6,0,6.049022932944826,0.06587076221620843
ACSM1,0,5.947212736737934,0.13171999127299958
ACSM2A,0,5.940696441241381,0.12394326536974157
ACSM2B,0,6.083011516751723,0.07125523304210095
ACSM3,0,6.388866958206895,0.1874815533896219
ACSM4,0,6.008707031717239,0.1142202466686682
ACSM5,0,6.293973761710345,0.21630455630636605
ACSS1,0,8.978803599206898,0.5233404671995022
ACSS2,0,9.970631869227581,0.2600751467521162
ACSS3,0,6.183391467324136,0.1956598263425421
ACTA1,0,14.721333920137932,0.4016364148718567
ACTA2,0,12.146850932758623,0.5815446022045769
ACTB,0,11.609027740068962,0.5996792683670783
ACTC1,0,13.899210208758625,0.3396167802098511
ACTG1,0,11.898314850413787,0.4748164568837037
ACTG2,0,7.715219919475863,0.831523377570589
ACTL6A,0,8.534053780662068,0.18654776599468645
ACTL6B,0,6.1133409087724155,0.13788538634182718
ACTL7A,0,6.019613516931034,0.1384458053067464
ACTL7B,0,6.193894099137928,0.15628845241597453
ACTL8,0,6.084405056337931,0.17329538778749906
ACTN1,0,10.42025527874483,0.5285191312758868
ACTN2,0,11.744885955655175,0.31105390123520404
ACTN3,0,6.051937049427589,0.1220897036085903
ACTN4,0,8.474977164606896,0.3114853560799467
ACTR10,0,9.5911493708,0.24599273654354037
ACTR1A,0,9.923731068289648,0.21887413265485192
ACTR1B,0,8.979728349034483,0.19457752747479398
ACTR2,0,10.302790396944824,0.2952750357652368
ACTR3,0,8.59427535135862,0.5252094538368518
ACTR3B,0,6.18378126349655,0.0889401672811178
ACTR5,0,7.026659669006894,0.23747443029567267
ACTR6,0,8.99689471650345,0.34027181602712175
ACTR8,0,7.024683395972416,0.20847120866378813
ACTRT1,0,7.1514365584482755,0.49107804508528835
ACVR1,0,9.323075658758627,0.2898408690327869
ACVR1B,0,6.971566611910346,0.2039759712850669
ACVR1C,0,6.0169910803931055,0.1452908012908814
ACVR2A,0,7.122610982593104,0.17313446874774607
ACVR2B,0,5.959651638593105,0.10021778807803651
ACVRL1,0,7.2177634479241375,0.30747395923127824
ACY1,0,7.990419688779305,0.2430843244877088
ACY3,0,5.943310308068965,0.1233849027804055
ACYP1,0,7.7063385689103425,0.2554955666093032
ACYP2,0,9.30904003426207,0.4024589656808571
