gene_symbol,MCI,primary_tier_normalized,primary_rank,held_out_cohort,remaining_cohorts,n_remaining_cohorts,loo_D_g,loo_S_g,loo_R_g,loo_MCI,loo_tier_normalized,loo_rank,MCI_change,absolute_MCI_change,rank_change,absolute_rank_change,tier_match
TRIM63,0.8197933145443262,HIGH,9.0,GSE249925,GSE141910;GSE36961,2,1.0,0.9818037226691769,0.0,0.7436313029342119,HIGH,11.0,-0.07616201161011438,0.07616201161011438,2.0,2.0,True
RBM20,0.8035740008093487,HIGH,10.0,GSE249925,GSE141910;GSE36961,2,1.0,0.51192204703089,0.5,0.7041727164608115,HIGH,16.0,-0.09940128434853723,0.09940128434853723,6.0,6.0,True
CAV3,0.8000427752056666,HIGH,11.0,GSE249925,GSE141910;GSE36961,2,1.0,0.507928834031798,0.5,0.7027750919111293,HIGH,17.0,-0.09726768329453728,0.09726768329453728,6.0,6.0,True
ALPK3,0.7976057316404546,HIGH,12.0,GSE249925,GSE141910;GSE36961,2,1.0,0.5421308334325511,0.5,0.7147457917013929,HIGH,15.0,-0.08285993993906171,0.08285993993906171,3.0,3.0,True
PMS2,0.7754141536439366,HIGH,13.0,GSE249925,GSE141910;GSE36961,2,1.0,0.8834526073782578,0.5,0.8342084125823903,HIGH,8.0,0.05879425893845369,0.05879425893845369,-5.0,5.0,True
TNNC1,0.7751828097694213,HIGH,14.0,GSE249925,GSE141910;GSE36961,2,1.0,0.9703876222901582,0.5,0.8646356678015554,HIGH,6.0,0.0894528580321341,0.0894528580321341,-8.0,8.0,True
KIF5B,0.7695246707816087,HIGH,15.0,GSE249925,GSE141910;GSE36961,2,1.0,0.3218723421475983,0.5,0.6376553197516595,MODERATE,23.0,-0.13186935102994923,0.13186935102994923,8.0,8.0,False
MYL3,0.7526322412963301,HIGH,16.0,GSE249925,GSE141910;GSE36961,2,1.0,0.6169519877219625,0.5,0.7409331957026869,HIGH,12.0,-0.01169904559364321,0.01169904559364321,-4.0,4.0,True
FLNC,0.7283850847571424,HIGH,17.0,GSE249925,GSE141910;GSE36961,2,1.0,0.4383899124149657,0.5,0.678436469345238,MODERATE,19.0,-0.04994861541190432,0.04994861541190432,2.0,2.0,False
MT-TL1,0.7086829235607361,HIGH,18.0,GSE249925,GSE141910,1,,,1.0,,INSUFFICIENT_COVERAGE,,,,,,False
LAMP2,0.6903439971857486,MODERATE,19.0,GSE249925,GSE141910;GSE36961,2,1.0,0.43297990128458685,0.5,0.6765429654496053,MODERATE,20.0,-0.013801031736143221,0.013801031736143221,1.0,1.0,True
RAF1,0.6752302474844579,MODERATE,20.0,GSE249925,GSE141910;GSE36961,2,1.0,0.5012660430802149,0.5,0.7004431150780752,HIGH,18.0,0.025212867593617294,0.025212867593617294,-2.0,2.0,False
SSUH2,0.6571492956096299,MODERATE,21.0,GSE249925,GSE141910,1,,,1.0,,INSUFFICIENT_COVERAGE,,,,,,False
CSRP3,0.6431434629210778,MODERATE,22.0,GSE249925,GSE141910;GSE36961,2,1.0,0.5455339436035516,0.5,0.715936880261243,HIGH,14.0,0.0727934173401652,0.0727934173401652,-8.0,8.0,False
SLC25A4,0.5959726762202882,MODERATE,23.0,GSE249925,GSE141910;GSE36961,2,1.0,0.42025589969673804,0.5,0.6720895648938583,MODERATE,21.0,0.07611688867357014,0.07611688867357014,-2.0,2.0,True
PRKAG2,0.5838875374447547,MODERATE,24.0,GSE249925,GSE141910;GSE36961,2,1.0,0.4046945972440069,0.5,0.6666431090354025,MODERATE,22.0,0.08275557159064773,0.08275557159064773,-2.0,2.0,True
TPM1,0.5680418520168269,MODERATE,25.0,GSE249925,GSE141910;GSE36961,2,1.0,0.41756808320522465,0.0,0.5461488291218286,MODERATE,24.0,-0.021893022894998282,0.021893022894998282,-1.0,1.0,True
MT-TI,0.5439293516517061,MODERATE,26.0,GSE249925,GSE141910,1,,,0.0,,INSUFFICIENT_COVERAGE,,,,,,False
PTPN11,0.4333303385227627,UNSTABLE,27.0,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.3083303385227627,0.3083303385227627,3.0,3.0,True
PLN,0.4130468243349183,UNSTABLE,28.0,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.2880468243349183,0.2880468243349183,2.0,2.0,True
LZTR1,0.4113290672251504,UNSTABLE,29.0,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.2863290672251504,0.2863290672251504,1.0,1.0,True
