gene_symbol,method,original_MCI,benchmark_score,original_MCI_rank,benchmark_rank,rank_displacement,absolute_rank_displacement
MYH7,Random-effects meta-analysis,0.292774455340535,0.5650606854602498,34.0,34.0,0.0,0.0
TCAP,Random-effects meta-analysis,0.2731064436543995,0.6456388850284498,35.0,30.0,-5.0,5.0
ACTC1,Random-effects meta-analysis,0.2166666666666666,0.2513583385249164,37.5,42.0,4.5,4.5
COQ9,Random-effects meta-analysis,0.2166666666666666,0.0608258755821941,37.5,46.0,8.5,8.5
MTO1,Random-effects meta-analysis,0.2166666666666666,0.2531945673660968,37.5,41.0,3.5,3.5
NEXN,Random-effects meta-analysis,0.2166666666666666,0.3106101512939604,37.5,38.0,0.5,0.5
TNNT2,Random-effects meta-analysis,0.2142705021088397,0.3163354092963705,40.0,37.0,-3.0,3.0
CACNA1C,Random-effects meta-analysis,0.1333333333333333,0.2640716245393591,43.5,40.0,-3.5,3.5
DES,Random-effects meta-analysis,0.1333333333333333,0.1235370417266071,43.5,44.0,0.5,0.5
JPH2,Random-effects meta-analysis,0.1333333333333333,0.1476481120800049,43.5,43.0,-0.5,0.5
MYBPC3,Random-effects meta-analysis,0.1333333333333333,0.1153968725797809,43.5,45.0,1.5,1.5
MYO6,Random-effects meta-analysis,0.1333333333333333,0.3197722448916317,43.5,36.0,-7.5,7.5
TTN,Random-effects meta-analysis,0.1333333333333333,0.0514475601378441,43.5,47.0,3.5,3.5
CEP85L,Random-effects meta-analysis,0.0,0.3061453952855904,47.0,39.0,-8.0,8.0
