gene_symbol,MCI,primary_tier,MOD_0.400__HIGH_0.650__tier,MOD_0.400__HIGH_0.675__tier,MOD_0.400__HIGH_0.700__tier,MOD_0.400__HIGH_0.725__tier,MOD_0.400__HIGH_0.750__tier,MOD_0.425__HIGH_0.650__tier,MOD_0.425__HIGH_0.675__tier,MOD_0.425__HIGH_0.700__tier,MOD_0.425__HIGH_0.725__tier,MOD_0.425__HIGH_0.750__tier,MOD_0.450__HIGH_0.650__tier,MOD_0.450__HIGH_0.675__tier,MOD_0.450__HIGH_0.700__tier,MOD_0.450__HIGH_0.725__tier,MOD_0.450__HIGH_0.750__tier,MOD_0.475__HIGH_0.650__tier,MOD_0.475__HIGH_0.675__tier,MOD_0.475__HIGH_0.700__tier,MOD_0.475__HIGH_0.725__tier,MOD_0.475__HIGH_0.750__tier,MOD_0.500__HIGH_0.650__tier,MOD_0.500__HIGH_0.675__tier,MOD_0.500__HIGH_0.700__tier,MOD_0.500__HIGH_0.725__tier,MOD_0.500__HIGH_0.750__tier,n_distinct_tiers_across_threshold_grid,n_threshold_scenarios_changing_primary_tier,percent_threshold_scenarios_changing_primary_tier,tier_stable_across_all_threshold_scenarios,always_HIGH_across_grid,always_MODERATE_across_grid,always_UNSTABLE_across_grid,distance_from_MODERATE_threshold_0_45,distance_from_HIGH_threshold_0_70,distance_from_nearest_primary_threshold,n_scenarios_HIGH,n_scenarios_MODERATE,n_scenarios_UNSTABLE
TMEM43,0.9294960052251762,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.47949600522517616,0.22949600522517621,0.22949600522517621,25,0,0
ACTC1,0.2166666666666666,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.23333333333333342,0.4833333333333334,0.23333333333333342,0,0,25
COQ9,0.2166666666666666,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.23333333333333342,0.4833333333333334,0.23333333333333342,0,0,25
MTO1,0.2166666666666666,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.23333333333333342,0.4833333333333334,0.23333333333333342,0,0,25
NEXN,0.2166666666666666,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.23333333333333342,0.4833333333333334,0.23333333333333342,0,0,25
ACTN2,0.9347924185794564,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.4847924185794564,0.23479241857945643,0.23479241857945643,25,0,0
TNNT2,0.2142705021088397,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.23572949789116032,0.48572949789116027,0.23572949789116032,0,0,25
GLA,0.9600291718029872,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.5100291718029872,0.26002917180298724,0.26002917180298724,25,0,0
TNNI3,0.9617210925247786,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.5117210925247786,0.2617210925247786,0.2617210925247786,25,0,0
MYH6,0.968060359673416,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,1,0,0.0,True,True,False,False,0.5180603596734159,0.268060359673416,0.268060359673416,25,0,0
CACNA1C,0.1333333333333333,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.3166666666666667,0.5666666666666667,0.3166666666666667,0,0,25
DES,0.1333333333333333,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.3166666666666667,0.5666666666666667,0.3166666666666667,0,0,25
JPH2,0.1333333333333333,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.3166666666666667,0.5666666666666667,0.3166666666666667,0,0,25
MYBPC3,0.1333333333333333,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.3166666666666667,0.5666666666666667,0.3166666666666667,0,0,25
MYO6,0.1333333333333333,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.3166666666666667,0.5666666666666667,0.3166666666666667,0,0,25
TTN,0.1333333333333333,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.3166666666666667,0.5666666666666667,0.3166666666666667,0,0,25
CEP85L,0.0,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,UNSTABLE,1,0,0.0,True,False,False,True,0.45,0.7,0.45,0,0,25
