dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_DCM_HF,mean_Control,n_DCM_HF,n_Control,abs_log2FC,direction
GSE57338,DCM_HF_vs_Control,TMCO1,0.045871635647889875,0.026021295801772426,1.7628497826294014,0.07890794719515802,0.12895928395596432,8.27628611326554,8.230414477617646,177,136,0.045871635647889875,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ALKBH8,0.04169892110900664,0.02368175376239434,1.7608037617223615,0.0792544077272329,0.12951515406919553,5.3850630926384175,5.34336417152941,177,136,0.04169892110900664,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ELF5,-0.034113018839564635,0.019375737961395963,-1.7606048816066304,0.07928815104125457,0.12955994317168645,3.59227652217514,3.6263895410147065,177,136,0.034113018839564635,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CALCOCO1,-0.04085484557157626,0.023206341404627913,-1.7605035132090576,0.0793053543891532,0.1295777003242396,8.763457696774012,8.804312542345585,177,136,0.04085484557157626,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,TMEM132C,-0.08549116351395769,0.04856813706755318,-1.7602314742904068,0.07935153750443691,0.1296428011476979,4.734008354338985,4.819499517852941,177,136,0.08549116351395769,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ANKRD49,-0.05912789844184152,0.03359482892881818,-1.760029752409921,0.07938579732382842,0.12968841310690934,6.03191343058757,6.091041329029415,177,136,0.05912789844184152,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CD36,0.0658022509096039,0.0373886642454467,1.7599519062149296,0.07939902171188414,0.12969965604345637,10.931273477909608,10.865471227,177,136,0.0658022509096039,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,GUCA1A,-0.035732507325066276,0.02030458866652823,-1.7598242403191702,0.07942071328791281,0.129724727375225,3.528801950858759,3.5645344581838234,177,136,0.035732507325066276,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SNORA55,0.06045872720280787,0.03436009493494545,1.7595622863462808,0.07946523676720661,0.1297870850482689,6.564658588717517,6.50419986151471,177,136,0.06045872720280787,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,TPP1,-0.04644362313704642,0.026398927309786668,-1.7592996333539939,0.07950989952795792,0.12984558805960153,8.505031510649717,8.55147513378677,177,136,0.04644362313704642,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CCDC66,0.05354604006351771,0.030436390170503605,1.759276962989193,0.07951375546554475,0.12984558805960153,6.18488632135028,6.13134028128677,177,136,0.05354604006351771,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,PNKD,-0.03839979998978027,0.02184124635398871,-1.7581322680684652,0.07970865204074769,0.13015346009528028,6.2530079179661024,6.291407717955885,177,136,0.03839979998978027,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,OXT,-0.04396715212346303,0.025012121386909746,-1.757833789599051,0.07975953528304608,0.13022614742820698,5.161461019141245,5.205428171264706,177,136,0.04396715212346303,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CRP,-0.026205366186938583,0.014910603634049361,-1.7574986787990847,0.07981669504735966,0.1303090702313991,3.1023797102542376,3.1285850764411776,177,136,0.026205366186938583,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,KLK7,-0.03516810908852608,0.020011045586704527,-1.757434859470412,0.07982758448548623,0.13031644469770842,3.3541741837570624,3.3893422928455896,177,136,0.03516810908852608,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ESCO2,-0.05864557935643022,0.03337179705009626,-1.7573395663528122,0.0798438465280199,0.1303325879228933,3.271958444084746,3.3306040234411776,177,136,0.05864557935643022,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SLC4A10,0.028499439379320313,0.01622336037265376,1.7566915068569406,0.07995451150751572,0.1304962212438335,2.994904843180792,2.9664054038014704,177,136,0.028499439379320313,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ACTR3BP2,-0.020916844405076573,0.011907046584870623,-1.7566778004928623,0.07995685340759089,0.1304962212438335,2.276454524087571,2.2973713684926467,177,136,0.020916844405076573,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,KLHL15,-0.03907143647773337,0.022252689215222006,-1.7558074037634273,0.08010568610191621,0.1307286952983949,6.098058722316385,6.1371301587941165,177,136,0.03907143647773337,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,GPR81,0.06866312612117809,0.039115072073761484,1.755413514046355,0.08017311321757267,0.13082829279439523,3.065290132378532,2.9966270062573512,177,136,0.06866312612117809,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,BC029889,-0.0344090041603935,0.019602196614795602,-1.7553647091990607,0.08018147098975645,0.13083149140194045,4.354473712288136,4.3888827164485305,177,136,0.0344090041603935,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SUN3,-0.02820030942019791,0.016068677754829893,-1.7549863063077182,0.08024629617634567,0.13092681959520255,3.0245582059548046,3.0527585153750008,177,136,0.02820030942019791,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,AMBRA1,0.024473167638709103,0.013945954925717308,1.7548577898799087,0.08026832239162701,0.13095230896759252,6.731576022881358,6.707102855242645,177,136,0.024473167638709103,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,DOM3Z,-0.04301455871367832,0.02452310672330546,-1.7540419816710893,0.0804082575227677,0.13117013930604654,5.818568808725046,5.861583367438729,177,136,0.04301455871367832,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,HNF4G,-0.025760515004112916,0.014687932395657778,-1.7538557715399443,0.08044022593998988,0.13121182264280076,2.774056644135593,2.799817159139707,177,136,0.025760515004112916,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ZC3H8,0.0444508920633111,0.025346625830755826,1.7537202924017594,0.08046349141683229,0.13123930447234172,6.6477284720339,6.603277579970587,177,136,0.0444508920633111,up_in_DCM_HF
