gene_symbol,log2FC,FDR,SE,p_value,stratum,disease_group,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,cohort,arm,selected_source_file,matched_in_DE,score_eligible,direction
CASR,-0.0135691425418498,0.8291552979366176,0.024663162238062,0.583055275167447,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
CAV3,0.4731388857513285,3.2513003854312975e-13,0.0544555436629849,7.688828000214055e-15,,HCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
CEP85L,,,,,,HCM,ClinVar_PLP_review2plus,False,True,2,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
COQ9,0.1573650529472631,0.095635512033738,0.0683337036682209,0.0227275219370987,,HCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
DES,0.1067056267005272,0.3179750421917462,0.0657768032030968,0.1069550887042469,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
GLA,-0.5106256107532672,3.5664993852147904e-20,0.0439981513663339,2.3411869305209306e-22,,HCM,ClinVar_PLP_review2plus,False,True,8,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
KCNH2,-0.1090147168190623,0.0410327279441679,0.0407621410943813,0.0083581170988107,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
KIF5B,0.5002537455498299,2.5057561219281534e-09,0.0718684055838975,1.1293397618516811e-10,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
LAMP2,-0.0236686575166918,0.751774255587104,0.0319597851075139,0.4601646834392541,,HCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
LZTR1,-0.2380819532312543,6.145025628838597e-05,0.0507413879501724,6.262580946581004e-06,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
MHRT,,,,,,HCM,ClinVar_PLP_review2plus,False,True,9,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
MRPL44,0.1382431574230747,0.0087221468856378,0.042590850866758,0.0014586077165143,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
MT-TI,,,,,,HCM,ClinVar_PLP_review2plus,False,True,1,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
MT-TL1,,,,,,HCM,ClinVar_PLP_review2plus,False,True,1,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
MTO1,0.0408775594649229,0.5195181347897215,0.0336495320769856,0.226443247674556,,HCM,ClinVar_PLP_review2plus,False,True,13,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
