gene_symbol,cohort,log2FC,FDR,p_value,SE,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,matched_in_DE,selected_source_file,direction,score_eligible,abs_log2FC
PLN,GSE141910_DCM,-0.2311231865422209,0.0006190668624264,0.0002739370030247,0.0628322728161525,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.2311231865422209
PLN,GSE57338_DCM_HF,0.0896376718423059,0.0283885689320918,0.013990219936314,0.0362685945865605,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0896376718423059
PMS2,GSE141910_DCM,0.040011523954341,0.5670354012433079,0.5065124199406137,0.0601673458368433,DCM,,ClinVar_PLP_review2plus,False,True,1,3.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.040011523954341
PMS2,GSE57338_DCM_HF,0.2128390677900893,1.114406143625992e-11,1.2435573690731117e-12,0.0287444546121782,DCM,,ClinVar_PLP_review2plus,False,True,1,3.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.2128390677900893
PPCS,GSE141910_DCM,0.1711389462834862,4.692329193341367e-10,8.668376730528534e-11,0.025518644212332,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1711389462834862
PPCS,GSE57338_DCM_HF,0.0653350370965855,0.0084221653125499,0.0036258554235544,0.0222888771882153,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0653350370965855
PPP1R13L,GSE141910_DCM,0.103535378113496,0.2177912405684711,0.1691461382214378,0.0751361535118931,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.103535378113496
PPP1R13L,GSE57338_DCM_HF,-0.0079202779672646,0.8692096246836901,0.8199048244571336,0.0347594072095284,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0079202779672646
PSEN1,GSE141910_DCM,-0.1612405757348831,1.8968761697045797e-12,2.650687976570921e-13,0.0211504577164679,DCM,,ClinVar_PLP_review2plus,False,True,5,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.1612405757348831
PSEN1,GSE57338_DCM_HF,-0.0260604758751665,0.2277839618848808,0.1539128990379111,0.0182326426533134,DCM,,ClinVar_PLP_review2plus,False,True,5,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0260604758751665
RAF1,GSE141910_DCM,-0.2852449494378737,7.654995580617579e-12,1.1412406310432948e-12,0.0385480111941123,DCM,,ClinVar_PLP_review2plus,False,True,5,3.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.2852449494378737
RAF1,GSE57338_DCM_HF,-0.184525924557783,3.4092658791208954e-19,1.4904076752733886e-20,0.0184768495730889,DCM,,ClinVar_PLP_review2plus,False,True,5,3.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.184525924557783
RBM20,GSE141910_DCM,0.0643586308869696,0.3785931273471833,0.3174063592910728,0.0642738663217947,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,9,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0643586308869696
RBM20,GSE57338_DCM_HF,,,,,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,9,2.0,False,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,ZERO,False,
RNF220,GSE141910_DCM,-0.1876087256092908,2.193269008099401e-08,5.0182278212024925e-09,0.0312367139581786,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.1876087256092908
