gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,bootstrap_n,MCI_bootstrap_mean,MCI_bootstrap_median,MCI_CI95_lower,MCI_CI95_upper,MCI_CI95_width,bootstrap_prob_HIGH,bootstrap_prob_MODERATE_or_HIGH,bootstrap_prob_UNSTABLE,bootstrap_tier_majority,CI_crosses_HIGH_threshold_0_70,CI_crosses_MODERATE_threshold_0_45,tier_stability_note
ACTC1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,3,GSE141910|GSE249925|GSE36961,0.0604673166477784,0.1753238669769115,0.0075797885381488,1,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,1000,0.45849333595511194,0.4574227493244788,0.21666666666666667,1.0,0.7833333333333333,0.339,0.567,0.433,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
COQ9,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,3,GSE141910|GSE249925|GSE36961,-0.0265839180286942,0.2309963018249076,0.0080675917319001,1,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,1000,0.4212210253658579,0.3257509977888742,0.21666666666666667,1.0,0.7833333333333333,0.108,0.46,0.54,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
MTO1,HCM,,ClinVar_PLP_review2plus,False,True,13,2.0,3,GSE141910|GSE249925|GSE36961,-0.0478947793058324,0.134115506288489,0.0032713764106017,1,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,1000,0.43874346166249756,0.44731213728366526,0.21666666666666667,1.0,0.7833333333333333,0.117,0.45,0.55,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
NEXN,HCM,,ClinVar_PLP_review2plus,False,True,3,2.0,3,GSE141910|GSE249925|GSE36961,0.1231790161141297,0.2893329595762849,7.321173813635676e-08,1,0.3333333333333333,0.0,0.3333333333333333,0.2166666666666666,UNSTABLE,1000,0.3977485553579638,0.21666666666666667,0.13333333333333333,1.0,0.8666666666666667,0.308,0.308,0.692,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
TNNT2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,3,GSE141910|GSE249925|GSE36961,-0.048889459351539,0.0751676362866279,0.233846544386933,0,0.3333333333333333,0.231249053644304,0.0,0.2142705021088397,UNSTABLE,1000,0.36513132088528644,0.21427050210883974,0.13333333333333333,0.75,0.6166666666666667,0.315,0.315,0.685,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
CACNA1C,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.064335620706451,0.1475685016814658,0.0513617441302739,0,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,1000,0.3314061101024562,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.125,0.342,0.658,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
DES,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.0473109209529854,0.1535557298408886,0.1301612926694358,0,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,1000,0.30976605726914397,0.16681621749870454,0.13333333333333333,0.75,0.6166666666666667,0.091,0.312,0.688,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
JPH2,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.0199939792573354,0.1194447619036121,0.1762792525917891,0,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,1000,0.31689348181954574,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.107,0.34,0.66,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
MYBPC3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,3,GSE141910|GSE249925|GSE36961,0.0190331057431457,0.0641582785214783,0.698704809303921,0,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,1000,0.30442512890797446,0.13333333333333333,0.13333333333333333,0.75,0.6166666666666667,0.093,0.309,0.691,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
MYO6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.0005354183293971,0.052978628630767,0.6450664126415696,0,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,1000,0.3455423190117161,0.1374233752022481,0.13333333333333333,0.75,0.6166666666666667,0.343,0.343,0.657,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
TTN,HCM,,ClinVar_PLP_review2plus,False,True,115,2.0,3,GSE141910|GSE249925|GSE36961,-0.0577673178640442,0.2803379728801225,0.0968923401853897,0,0.3333333333333333,0.0,0.0,0.1333333333333333,UNSTABLE,1000,0.3361981627415705,0.193883051434433,0.13333333333333333,0.75,0.6166666666666667,0.112,0.35,0.65,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
CEP85L,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,2,GSE141910|GSE249925,-0.1119601171554263,0.2277294062193911,0.1268641692743559,0,0.0,0.0,0.0,0.0,UNSTABLE,1000,0.375,0.375,0.0,0.75,0.75,0.5,0.5,0.5,UNSTABLE,True,True,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
CASR,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,1,GSE36961,-0.0135691425418498,,0.8291552979366176,0,,,0.0,,INSUFFICIENT_COHORT_COVERAGE,0,,,,,,,,,INSUFFICIENT_COHORT_COVERAGE,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
RPL36A-HNRNPH2,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,1,GSE249925,-0.4262889373630525,,3.4174721900688497e-07,1,,,1.0,,INSUFFICIENT_COHORT_COVERAGE,0,,,,,,,,,INSUFFICIENT_COHORT_COVERAGE,False,False,PRIMARY_TIER_MATCHES_BOOTSTRAP_MAJORITY
