gene_symbol,log2FC,FDR,SE,p_value,stratum,disease_group,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,cohort,arm,selected_source_file,matched_in_DE,score_eligible,direction,abs_log2FC_calc
KIF5B,0.0104653151712822,0.9424187027333718,0.0889637079100476,0.9064792221451494,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,up_in_HCM,0.0104653151712822
KIF5B,0.455021949579224,0.0036852807686851,0.1388385427235433,0.0013766826680441,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.455021949579224
KIF5B,0.5002537455498299,2.505756121928153e-09,0.0718684055838975,1.1293397618516811e-10,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.5002537455498299
LAMP2,-0.2152729454452217,0.0135238106609304,0.0733073099792896,0.0037242277177364,,HCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.2152729454452217
LAMP2,-0.1130675823810225,0.3378590674270543,0.0992115156037095,0.2567353181396282,,HCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.1130675823810225
LAMP2,-0.0236686575166918,0.751774255587104,0.0319597851075139,0.4601646834392541,,HCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.0236686575166918
LMNA,0.2102038917295147,0.3838340749836897,0.1803118120701249,0.245149576114468,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,up_in_HCM,0.2102038917295147
LMNA,-0.7357543737749255,9.337349364209024e-06,0.1458262886822073,1.6584916632624517e-06,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.7357543737749255
LMNA,-0.5129365916265141,2.5909063902644696e-16,0.0512566129980918,3.381883836576252e-18,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.5129365916265141
LZTR1,0.0897114957127529,0.5589485753524575,0.1096544479966547,0.414297647652267,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,up_in_HCM,0.0897114957127529
LZTR1,-0.4620491362058299,0.0050606010707309,0.1460605756086952,0.001983182600826,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.4620491362058299
LZTR1,-0.2380819532312543,6.145025628838597e-05,0.0507413879501724,6.262580946581004e-06,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.2380819532312543
MRPL44,-0.0549470524501667,0.4642955978531,0.0549573195951555,0.3186593132567109,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.0549470524501667
MRPL44,0.1384881148981819,0.0158603611840196,0.0507010463146916,0.0072737584654122,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.1384881148981819
MRPL44,0.1382431574230747,0.0087221468856378,0.042590850866758,0.0014586077165143,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.1382431574230747
MT-TI,-0.0342940322144352,0.9235490706374664,0.2218337609175805,0.8773042703089982,,HCM,ClinVar_PLP_review2plus,False,True,1,3.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.0342940322144352
MT-TI,-0.3755568163420565,0.1328220788472755,0.2161952434924788,0.0849755812162684,,HCM,ClinVar_PLP_review2plus,False,True,1,3.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.3755568163420565
MT-TL1,-0.6662340681855963,0.0193693541020183,0.2386379113283691,0.0057711530938655,,HCM,ClinVar_PLP_review2plus,False,True,1,3.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.6662340681855963
MT-TL1,-0.1306859246902239,0.3758223339971812,0.1234402764437218,0.2918999197202926,,HCM,ClinVar_PLP_review2plus,False,True,1,3.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.1306859246902239
MTO1,-0.2021744104116211,0.0032713764106017,0.0586522778882017,0.0006964022273095,,HCM,ClinVar_PLP_review2plus,False,True,13,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.2021744104116211
MTO1,0.0176125130292008,0.8268441386415861,0.0622373344079226,0.7776807155111847,,HCM,ClinVar_PLP_review2plus,False,True,13,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.0176125130292008
MTO1,0.0408775594649229,0.5195181347897215,0.0336495320769856,0.226443247674556,,HCM,ClinVar_PLP_review2plus,False,True,13,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.0408775594649229
