gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,GSE141910_log2FC,GSE141910_FDR,GSE141910_SE,GSE141910_p_value,GSE249925_log2FC,GSE249925_FDR,GSE249925_SE,GSE249925_p_value,GSE36961_log2FC,GSE36961_FDR,GSE36961_SE,GSE36961_p_value
SSUH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,2,GSE141910|GSE249925,0.5742054293823804,0.7148060414612941,1.4836386558915442e-08,1,1.0,0.37756941602751404,0.5,0.6571492956096299,MODERATE,1.079649628532774,1.4836386558915442e-08,0.1659530868895125,6.54746816757625e-10,0.0687612302319869,0.632320998508941,0.1144408848413977,0.5490956326619724,,,,
CSRP3,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,6,2.0,3,GSE141910|GSE249925|GSE36961,0.20019764117058278,0.21757464817755648,0.0016196160006942,1,1.0,0.45660037025069833,0.3333333333333333,0.6431434629210778,MODERATE,0.4500688798851911,0.0016196160006942,0.1223368214215249,0.0003040990233032,0.0526345920651192,0.7508529520420693,0.128838726831346,0.6836244272699467,0.097889451561438,0.6921188074381123,0.1124482459791489,0.3854704208062594
SLC25A4,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.08424826891448876,0.114269854115312,0.0076632974898595,1,1.0,0.3218266939627278,0.3333333333333333,0.5959726762202882,MODERATE,-0.2161473585797954,0.0076632974898595,0.0686204490927456,0.0018946098747413,-0.015204831932416,0.8590142330075327,0.0659993832864287,0.8181966730920983,-0.0213926162312549,0.8391866596880767,0.0408512181216455,0.6013177072638073
PRKAG2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,3,GSE141910|GSE249925|GSE36961,-0.13362917430486657,0.19047563279092028,1.5538981905361973e-05,1,1.0,0.2872977260326324,0.3333333333333333,0.5838875374447547,MODERATE,-0.3534387964355984,1.5538981905361973e-05,0.071208235906632,1.5227383265441434e-06,-0.0171089115421354,0.8678934914802019,0.078812771339507,0.8285185687655056,-0.0303398149368659,0.8235884547424198,0.0537085841023685,0.5730289742119707
TPM1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,2.0,3,GSE141910|GSE249925|GSE36961,0.04766053720009857,0.07225105436659779,0.0313314330687925,1,1.0,0.24202433909569576,0.3333333333333333,0.5680418520168269,MODERATE,0.0110251917177394,0.9251632485219496,0.0729548676434697,0.8800369905726534,0.1308904849986678,0.0313314330687925,0.0535380110389217,0.0159705971544262,0.0010659348838885,0.994434887792927,0.0525833755902698,0.9838551849748872
MT-TI,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,2,GSE141910|GSE249925,-0.20492542427824587,0.24130922882324193,0.1328220788472755,0,1.0,0.4112267190048745,0.0,0.5439293516517061,MODERATE,-0.0342940322144352,0.9235490706374664,0.2218337609175805,0.8773042703089982,-0.3755568163420565,0.1328220788472755,0.2161952434924788,0.0849755812162684,,,,
PTPN11,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,3,GSE141910|GSE249925|GSE36961,0.33371117098036956,0.4131719225570806,1.0519159325724516e-18,2,0.3333333333333333,0.3809438243507508,0.6666666666666666,0.4333303385227627,UNSTABLE,-0.1423931905591081,0.4309244610361368,0.1333857921617428,0.2870734823074961,0.5452206449961063,0.0001061523897995,0.1242448407675197,2.50121484621837e-05,0.5983060585041104,1.0519159325724516e-18,0.0543847409033242,8.866490051540772e-21
PLN,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,3,GSE141910|GSE249925|GSE36961,0.2662414927797327,0.360495812616969,0.0002921462667866,2,0.3333333333333333,0.3229909266711952,0.6666666666666666,0.41304682433491835,UNSTABLE,-0.1218955742620339,0.3959073490821001,0.1068435604452356,0.2553413141057784,0.590576844046081,0.0008939340085854,0.1573990568685179,0.0002734446187009,0.330043208555151,0.0002921462667866,0.0771675869230013,3.4466867864572055e-05
LZTR1,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.20347319790811044,0.2775036453680588,6.145025628838597e-05,2,0.3333333333333333,0.3180830492147154,0.6666666666666666,0.4113290672251504,UNSTABLE,0.0897114957127529,0.5589485753524575,0.1096544479966547,0.414297647652267,-0.4620491362058299,0.0050606010707309,0.1460605756086952,0.001983182600826,-0.2380819532312543,6.145025628838597e-05,0.0507413879501724,6.262580946581004e-06
LMNA,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,3,GSE141910|GSE249925|GSE36961,-0.34616235789064165,0.4945396786888619,2.5909063902644696e-16,2,0.3333333333333333,0.28568247324410834,0.6666666666666666,0.3999888656354379,UNSTABLE,0.2102038917295147,0.3838340749836897,0.1803118120701249,0.245149576114468,-0.7357543737749255,9.337349364209024e-06,0.1458262886822073,1.6584916632624517e-06,-0.5129365916265141,2.5909063902644696e-16,0.0512566129980918,3.381883836576252e-18
