feature_id,gene_symbol,cohort,disease,comparison,model,model_formula,n_samples_used,n_hcm,n_control,n_male,n_female,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
LOC653879,LOC653879,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.771337735952829,7.904293409944444,-1.1537518760283936,0.08660556641012547,-13.321913635028233,1.5030642261309298e-26,7.022835642240885e-24,1.1537518760283936
NFKBIA,NFKBIA,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,10.245904639839623,11.296916626666667,-1.0712710129290193,0.08143556471453332,-13.154830038746399,4.0042301545543895e-26,1.8480987125520175e-23,1.0712710129290193
HS.19985,HS.19985,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.465278671716983,7.257649615361111,-0.7868952910737046,0.05986686486209511,-13.144087182222394,4.264845272925456e-26,1.9270595837152505e-23,0.7868952910737046
IFITM3,IFITM3,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,11.358559761037732,12.524028209166667,-1.1210984647885749,0.08529617258126128,-13.143596375564325,4.277149633569757e-26,1.9270595837152505e-23,1.1210984647885749
C1ORF162,C1ORF162,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.002631263688679,8.989540673111115,-0.9978384113579145,0.07595877114572701,-13.136579177190217,4.457006971674959e-26,1.9844692452942408e-23,0.9978384113579145
WAS,WAS,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.930007507311322,7.831417892777777,-0.8754899981428774,0.06666816729728989,-13.13205437669901,4.57697942314558e-26,2.014190270329856e-23,0.8754899981428774
EBI2,EBI2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.228884924254721,6.798576492388888,-0.5600497879126459,0.042734920997185184,-13.105202369498581,5.358535685074767e-26,2.33102461537172e-23,0.5600497879126459
BCL6,BCL6,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.545313491415095,9.454578448527776,-0.9309806268648884,0.07106386036576122,-13.10061995046694,5.504679721359051e-26,2.367387599256303e-23,0.9309806268648884
TSPYL2,TSPYL2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,6.850743413820757,7.533756351833334,-0.6946135611440336,0.05313779338214614,-13.071930859993484,6.514859786741873e-26,2.77035262347228e-23,0.6946135611440336
ZGPAT,ZGPAT,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.044782924820751,7.465342244361109,-0.41194680347832274,0.0315385254424701,-13.061701449224731,6.918314538664546e-26,2.909228133669982e-23,0.41194680347832274
HCLS1,HCLS1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,7.965507260632075,9.041727748055557,-1.0545673621623335,0.08094533831057153,-13.028142005116631,8.426110689436411e-26,3.5043361005759384e-23,1.0545673621623335
ITGB2,ITGB2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,8.427755138056606,9.80528633272222,-1.3371532766001997,0.10275333669978255,-13.013234601879642,9.197535965725293e-26,3.783586371291733e-23,1.3371532766001997
CAPN1,CAPN1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142,106,36,73,69,9.51514065254717,10.164300670500001,-0.6445364082568015,0.049546435768198685,-13.008734094864929,9.444042978435727e-26,3.843217747977188e-23,0.6445364082568015
