feature_id,gene_symbol,cohort,disease,comparison,model,n_hcm,n_control,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
F13A1,F13A1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.981335625481129,8.56003580453846,-1.5787001790573307,0.11037412560933435,-14.303172689630983,2.2781485395646264e-29,1.3264432250517362e-26,1.5787001790573307
IFITM3,IFITM3,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,11.358559761037732,12.544625075384616,-1.1860653143468811,0.0832198801247363,-14.252187248637176,3.0799760216204623e-29,1.7512001042642465e-26,1.1860653143468811
LCP1,LCP1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.954554958669809,9.364641306102564,-1.4100863474327539,0.09894592378257631,-14.25108072699666,3.1002062829811477e-29,1.7512001042642465e-26,1.4100863474327539
SMYD2,SMYD2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,10.591942451754715,9.731088827794872,0.8608536239598427,0.060526510025046346,14.22275336218154,3.666002425251273e-29,2.0403459968538187e-26,0.8608536239598427
HCLS1,HCLS1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.965507260632075,9.08168177776923,-1.1161745171371575,0.07867839355580097,-14.1865443191279,4.542440918904513e-29,2.4914959277805824e-26,1.1161745171371575
IL18R1,IL18R1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.355473600962264,7.146100012487179,-0.7906264115249161,0.05577446186141307,-14.175419809328577,4.851766658023538e-29,2.623142299136555e-26,0.7906264115249161
SLCO2B1,SLCO2B1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.885607149396228,8.797113395641027,-0.9115062462448011,0.0643533154361477,-14.164091470146724,5.188464527672844e-29,2.765670824145161e-26,0.9115062462448011
BTG2,BTG2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.165863510490565,9.686859801205127,-1.5209962907145633,0.10779660461154798,-14.109871977837999,7.154184281631974e-29,3.7605174767033847e-26,1.5209962907145633
MGST1,MGST1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.217400350235849,6.898007373102562,-0.680607022866716,0.04826317551540559,-14.101994234703152,7.496170388015964e-29,3.886302253491126e-26,0.680607022866716
CHRDL2,CHRDL2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.059841005773588,7.23117755225641,-1.1713365464828265,0.08313849834978904,-14.088978869387995,8.0974565205022e-29,4.141301884796301e-26,1.1713365464828265
C10ORF71,C10ORF71,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.492559356056605,6.639411956589745,0.8531473994668584,0.06087932903619906,14.013745108123217,1.265168019874347e-28,6.384206517355272e-26,0.8531473994668584
INPP1,INPP1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.57252805945283,9.268224624307695,-0.6956965648548641,0.049734227954199024,-13.988285200597488,1.4715385826072953e-28,7.327874894388908e-26,0.6956965648548641
IRX6,IRX6,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.143926002386792,7.759582240487178,1.3843437618996128,0.09907199307518375,13.973109038485399,1.6102671695351846e-28,7.914567701068649e-26,1.3843437618996128
SAP18,SAP18,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.00522122681132,8.370376750589744,0.6348444762215757,0.0454612516776687,13.964518195028527,1.6945307011695342e-28,8.221949861084896e-26,0.6348444762215757
IL13RA1,IL13RA1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.735124467745285,9.568477216564103,-0.8333527488188218,0.05976415052354834,-13.944023992953154,1.9138274206007487e-28,9.168444627855182e-26,0.8333527488188218
HS.19985,HS.19985,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.465278671716983,7.309064751461538,-0.8437860797445577,0.06055587946106802,-13.934007519237438,2.0311371878018357e-28,9.608802251193533e-26,0.8437860797445577
MGC42367,MGC42367,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.486376020292452,8.511023213999998,-1.024647193707549,0.07358397415789501,-13.92486890567886,2.1444405467458873e-28,1.0019567522487018e-25,1.024647193707549
MFSD10,MFSD10,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.421556507481133,10.084287434564104,-0.6627309270829735,0.04761786835052301,-13.917694135413655,2.237816182366147e-28,1.0328340394857219e-25,0.6627309270829735
CHST7,CHST7,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.610491151141504,9.681776124,-1.0712849728584914,0.07704369960821371,-13.904900443595528,2.4145434704468846e-28,1.1009736407534073e-25,1.0712849728584914
BCL6,BCL6,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.545313491415095,9.477657114692308,-0.9323436232772147,0.06730055613027261,-13.853431188183528,3.278582544141124e-28,1.4771575591138688e-25,0.9323436232772147
NFKBIA,NFKBIA,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,10.245904639839623,11.31843873717949,-1.0725340973398656,0.07819759947809392,-13.715690820410959,7.440344585653876e-28,3.31279154339596e-25,1.0725340973398656
LMOD2,LMOD2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.795047352358486,8.51005752979487,1.2849898225636176,0.09370225454901604,13.713542206088906,7.536141974018286e-28,3.31642824591507e-25,1.2849898225636176
