gene_symbol,disease_group,n_plp_variants,max_review_weight,review_status_examples,condition_examples
LOC129935182,DCM,8,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Autosomal_recessive_titinopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|not_provided | Cardiovascular_phenotype|Primary_familial_dilated_cardiomyopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J
LOC129935183,DCM,6,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|not_provided | Cardiovascular_phenotype|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|not_provided|Primary_dilated_cardiomyopathy | Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Cardiovascular_phenotype|Primary_familial_dilated_cardiomyopathy
LOC129935185,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiovascular_phenotype
LOC129992585,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Primary_dilated_cardiomyopathy|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2E
MYPN,DCM,6,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1KK|not_provided | Cardiovascular_phenotype|MYPN-related_myopathy|Dilated_cardiomyopathy_1KK | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1KK|MYPN-related_myopathy
NCAPH2,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency_1|Myopia_6|not_provided|Primary_dilated_cardiomyopathy"
NKX2-5,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Noncompaction_cardiomyopathy|Ventricular_fibrillation|Atrial_septal_defect|Primary_dilated_cardiomyopathy|not_provided|Atrial_septal_defect_7
PLN,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy
PPCS,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided"
PPP1R13L,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Primary_dilated_cardiomyopathy|Arrhythmogenic_cardiomyopathy_with_variable_ectodermal_abnormalities|Orofacial_cleft
PSEN1,DCM,5,2,"criteria_provided,_multiple_submitters,_no_conflicts","Alzheimer_disease_3|Acne_inversa,_familial,_3|Pick_disease|Frontotemporal_dementia|Dilated_cardiomyopathy_1U|not_provided | Alzheimer_disease_3|Dilated_cardiomyopathy_1U|Acne_inversa,_familial,_3|Frontotemporal_dementia|Pick_disease|not_provided | Autosomal_dominant_PSEN1-related_disorders|Frontotemporal_dementia|Acne_inversa,_familial,_3|Pick_disease|Alzheimer_disease_3|PSEN1-related_disorder|Dilated_cardiomyopathy_1U|not_provided"
RAF1,DCM,5,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Cardiovascular_phenotype|Dilated_cardiomyopathy_1NN|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5 | Dilated_cardiomyopathy_1NN|LEOPARD_syndrome_2|Noonan_syndrome_5|not_provided|RASopathy|Noonan_syndrome_3 | Dilated_cardiomyopathy_1NN|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5
RBM20,DCM,9,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_familial_dilated_cardiomyopathy|not_provided|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD|Left_ventricular_noncompaction_cardiomyopathy | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1DD
RNF220,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Leukodystrophy,_hypomyelinating,_23,_with_ataxia,_deafness,_liver_dysfunction,_and_dilated_cardiomyopathy"
