dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_HCM,mean_Control,n_HCM,n_Control,abs_log2FC,direction
GSE141910,HCM_vs_Control,HAGH,0.029624297012592837,0.13345674774011415,0.22197676411447892,0.8245679002342463,0.8861735479528968,14.07120882301719,14.04158452600461,28,166,0.029624297012592837,up_in_HCM
GSE141910,HCM_vs_Control,DNAJC5G,-0.05220938355129251,0.23594575174540475,-0.22127706544862313,0.8251118583850877,0.8867066717526632,8.767960464330745,8.82016984788204,28,166,0.05220938355129251,down_in_HCM
GSE141910,HCM_vs_Control,CHD6,-0.029011107295471072,0.13119762647082317,-0.2211252449900289,0.8252298974860911,0.8867820462131416,12.983705267134857,13.012716374430333,28,166,0.029011107295471072,down_in_HCM
GSE141910,HCM_vs_Control,SRM,0.032912525137946735,0.1490446249353778,0.2208232947160411,0.8254646730616474,0.8869098972253312,12.31933984702888,12.286427321890923,28,166,0.032912525137946735,up_in_HCM
GSE141910,HCM_vs_Control,TEKT4P2,-0.0569813415619545,0.25808058341475054,-0.2207889520707653,0.8254913765157965,0.8869098972253312,9.377046610323962,9.434027951885927,28,166,0.0569813415619545,down_in_HCM
GSE141910,HCM_vs_Control,PPP1R12C,0.03919220913722099,0.1775110904912495,0.22078738307989265,0.8254925965046012,0.8869098972253312,14.56108309683029,14.521890887693067,28,166,0.03919220913722099,up_in_HCM
GSE141910,HCM_vs_Control,SNX32,-0.07455024342971356,0.33810190571527965,-0.220496371565836,0.8257188835496962,0.8871015373233244,6.677835922350312,6.752386165780026,28,166,0.07455024342971356,down_in_HCM
GSE141910,HCM_vs_Control,FER,-0.03460417644871017,0.1570954016537663,-0.2202749162892544,0.8258910942816436,0.8872350622895647,11.830441255008425,11.865045431457137,28,166,0.03460417644871017,down_in_HCM
GSE141910,HCM_vs_Control,NR1H3,-0.03465523862338615,0.15743563715514639,-0.22012321510938995,0.8260090668617507,0.8873103083910636,11.327722493400334,11.362377732023722,28,166,0.03465523862338615,down_in_HCM
GSE141910,HCM_vs_Control,GTF2IP23,0.06725254415724413,0.30563133639370116,0.2200446621435843,0.8260701562487938,0.8873244445972682,5.885210038126419,5.8179574939691765,28,166,0.06725254415724413,up_in_HCM
GSE141910,HCM_vs_Control,RALGAPA1P1,-0.06862921683429177,0.3121186625529778,-0.21988181120903946,0.8261968061999115,0.8874089970514599,7.164349353246997,7.232978570081286,28,166,0.06862921683429177,down_in_HCM
GSE141910,HCM_vs_Control,CLCN7,0.03449414778747839,0.15701743252516637,0.21968355508519574,0.8263509970875088,0.8875231193990283,12.20110612668144,12.166611978893958,28,166,0.03449414778747839,up_in_HCM
GSE141910,HCM_vs_Control,ANAPC16,-0.01589699981602921,0.07252200006088472,-0.2192024461912679,0.8267252007536312,0.8878735144188407,15.80226621967019,15.818163219486223,28,166,0.01589699981602921,down_in_HCM
GSE141910,HCM_vs_Control,STAT5B,0.01180855980455986,0.053959024101877445,0.21884309438704236,0.8270047283519817,0.8881221959498948,13.640525915885092,13.628717356080537,28,166,0.01180855980455986,up_in_HCM
GSE141910,HCM_vs_Control,YWHABP2,0.04567731675864728,0.20901604781180402,0.2185349748827644,0.8272444216729652,0.8882800952700438,4.47819407877395,4.432516762015304,28,166,0.04567731675864728,up_in_HCM
GSE141910,HCM_vs_Control,MSRB3,0.01668051668492776,0.07634547461499312,0.21848730090482604,0.8272815098175756,0.8882800952700438,15.230535145192817,15.213854628507889,28,166,0.01668051668492776,up_in_HCM
GSE141910,HCM_vs_Control,SLC60A2,-0.03015845684846813,0.13804452584910268,-0.21846905310417397,0.8272957058632364,0.8882800952700438,9.460262379877733,9.490420836726203,28,166,0.03015845684846813,down_in_HCM
GSE141910,HCM_vs_Control,ROPN1B,-0.035278255132459246,0.16160786750913161,-0.21829540650591073,0.8274307986890217,0.8883736226949985,8.77705516492795,8.812333420060414,28,166,0.035278255132459246,down_in_HCM
GSE141910,HCM_vs_Control,ST13P7,0.03658665154712748,0.16774654733420843,0.21810673381094617,0.8275775872856965,0.8884796957446126,6.941834311432866,6.905247659885738,28,166,0.03658665154712748,up_in_HCM
GSE141910,HCM_vs_Control,TOGARAM1,-0.028029952367342903,0.12865380181394886,-0.21787115477456376,0.827760877845662,0.8886249423923885,12.396175351542894,12.42420530391024,28,166,0.028029952367342903,down_in_HCM
GSE141910,HCM_vs_Control,MAP2K2,0.03406740113177309,0.15655520987265004,0.21760630744569437,0.8279669516771023,0.8887946292704508,13.3612379210215,13.327170519889727,28,166,0.03406740113177309,up_in_HCM
GSE141910,HCM_vs_Control,SPEN-AS1,-0.027862715966317453,0.12809283126293547,-0.21751971356713792,0.8280343316968963,0.8888154219693073,10.225541211589789,10.253403927556116,28,166,0.027862715966317453,down_in_HCM
GSE141910,HCM_vs_Control,XPC-AS1,-0.042774517532190054,0.19678932207436914,-0.21736198428502657,0.8281570665380873,0.8888956269028067,5.097732998851249,5.14050751638344,28,166,0.042774517532190054,down_in_HCM
GSE141910,HCM_vs_Control,YBX1P2,-0.026816028670358427,0.12356876794044971,-0.21701299703240234,0.8284286411269225,0.8891355692030098,9.269073242662492,9.295889271332848,28,166,0.026816028670358427,down_in_HCM
GSE141910,HCM_vs_Control,NSA2P1,0.0475939824471609,0.21949633245839026,0.2168327001827388,0.8285689524685189,0.8891828931653212,4.72655935711274,4.67896537466558,28,166,0.0475939824471609,up_in_HCM
GSE141910,HCM_vs_Control,CARD9,-0.05179558023522668,0.23894947837205704,-0.2167637300910036,0.8286226281094969,0.8891828931653212,7.086847675258897,7.138643255494129,28,166,0.05179558023522668,down_in_HCM
GSE141910,HCM_vs_Control,LAPTM4BP2,0.05637650959895579,0.26010155597218637,0.21674806745479194,0.8286348175928994,0.8891828931653212,5.284821079128469,5.228444569529513,28,166,0.05637650959895579,up_in_HCM
GSE141910,HCM_vs_Control,SLC2A6,0.043148482103388675,0.1991481864597701,0.21666520228194544,0.8286993083001726,0.8891828931653212,9.095875242507553,9.052726760404166,28,166,0.043148482103388675,up_in_HCM
GSE141910,HCM_vs_Control,ADRM1,0.039529664679492926,0.182460529987509,0.21664775763941424,0.8287128849281289,0.8891828931653212,12.800497425711987,12.76096776103249,28,166,0.039529664679492926,up_in_HCM
GSE141910,HCM_vs_Control,CCDC82,-0.02127372988980475,0.09831418829987214,-0.21638514498962116,0.8289172744934318,0.8893506521412288,12.70909453163883,12.730368261528644,28,166,0.02127372988980475,down_in_HCM
GSE141910,HCM_vs_Control,VANGL2,0.02584684622394251,0.11952059419274752,0.21625433172010528,0.8290190898907129,0.8894083455694697,10.028936463951968,10.00308961772803,28,166,0.02584684622394251,up_in_HCM
GSE141910,HCM_vs_Control,RNPEPL1,-0.04523152199887803,0.2095299334397557,-0.21587140918881192,0.8293171451680891,0.8896765549340461,13.041672675909942,13.086904197908815,28,166,0.04523152199887803,down_in_HCM
GSE141910,HCM_vs_Control,EIF3D,0.014961824097370013,0.0693726249114159,0.21567331662129322,0.8294713441315145,0.8897904156858689,14.641821278069642,14.626859453972271,28,166,0.014961824097370013,up_in_HCM
GSE141910,HCM_vs_Control,TCEAL9,-0.016899734756581686,0.07843696260009561,-0.21545626189968103,0.8296403111922113,0.8899201043572286,12.769942058805482,12.786841793562063,28,166,0.016899734756581686,down_in_HCM
