dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_DCM,mean_Control,n_DCM,n_Control,abs_log2FC,direction
GSE141910,DCM_vs_Control,EMILIN1,0.33106642299866307,0.1303489909287996,2.5398464586465512,0.011548348770292613,0.019316460135925834,11.43808097984569,11.107014556847021,166,166,0.33106642299866307,up_in_DCM
GSE141910,DCM_vs_Control,NDST2,-0.35084665887018796,0.13816024838509983,-2.539418269517426,0.01156221673540216,0.0193379093344024,5.8536456675374735,6.204492326407659,166,166,0.35084665887018796,down_in_DCM
GSE141910,DCM_vs_Control,RNASEH2B,0.09609543358082995,0.0378446598197435,2.539207223384714,0.011569057446965188,0.01934760257594097,12.603086135263831,12.506990701683007,166,166,0.09609543358082995,up_in_DCM
GSE141910,DCM_vs_Control,POU2F1,-0.10914639380643099,0.04299145784634726,-2.53879257122481,0.011582508219571996,0.019368347454515072,11.946192414931774,12.055338808738208,166,166,0.10914639380643099,down_in_DCM
GSE141910,DCM_vs_Control,RAD51-AS1,0.14247497535703024,0.056126591630299975,2.5384576404620844,0.011593383109882307,0.019384781567309533,10.516580359498764,10.37410538414173,166,166,0.14247497535703024,up_in_DCM
GSE141910,DCM_vs_Control,PIK3R1,-0.25687047598273516,0.101230402165681,-2.5374835077936604,0.011625064038075833,0.019435998422911396,15.19040579601772,15.447276272000469,166,166,0.25687047598273516,down_in_DCM
GSE141910,DCM_vs_Control,ZNF347,-0.21667143297793778,0.08540705355150954,-2.536926681907623,0.011643207874014664,0.019464575345099645,10.49399237540577,10.710663808383696,166,166,0.21667143297793778,down_in_DCM
GSE141910,DCM_vs_Control,JPH2,-0.14271345747488162,0.05625739896620835,-2.5367944501060933,0.011647520274186328,0.01947002644117485,15.095658915449464,15.23837237292435,166,166,0.14271345747488162,down_in_DCM
GSE141910,DCM_vs_Control,DMGDH,-0.20786738024105222,0.0819535026311687,-2.536406298295245,0.011660187070547999,0.019489440523388867,8.814533048394432,9.022400428635482,166,166,0.20786738024105222,down_in_DCM
GSE141910,DCM_vs_Control,7SK,0.4899431229331732,0.1931744335835033,2.536273117743534,0.011664536061205481,0.01949494954419943,7.846044443243664,7.356101320310489,166,166,0.4899431229331732,up_in_DCM
GSE141910,DCM_vs_Control,LRRFIP1,-0.10469187228530963,0.04128499455330657,-2.535833501204246,0.011678901935661545,0.019517197286053636,15.002640591746266,15.10733246403157,166,166,0.10469187228530963,down_in_DCM
GSE141910,DCM_vs_Control,ZNF852,-0.254963800561677,0.10055129756745873,-2.5356589793445945,0.011684609365544281,0.019524972757859128,7.452985610917795,7.707949411479469,166,166,0.254963800561677,down_in_DCM
GSE141910,DCM_vs_Control,STK4-DT,0.2539195783039063,0.10015051510162647,2.5353796537765647,0.011693749388910523,0.019538482169395355,4.8823375818936245,4.6284180035897196,166,166,0.2539195783039063,up_in_DCM
GSE141910,DCM_vs_Control,CEP290,0.14125821588706966,0.05571738323119412,2.5352629232591877,0.011697570903780204,0.019543103523299608,12.070117891805769,11.928859675918691,166,166,0.14125821588706966,up_in_DCM
GSE141910,DCM_vs_Control,PPP3CA-DT,0.31985633879960407,0.1261813736518232,2.534893459649561,0.011709673712283878,0.019561558332025938,8.397711009060506,8.077854670260894,166,166,0.31985633879960407,up_in_DCM
GSE141910,DCM_vs_Control,C1GALT1,-0.1598380198421605,0.06306639952099755,-2.5344402257963607,0.011724535887712944,0.019584524110474344,12.46269597906956,12.622533998911724,166,166,0.1598380198421605,down_in_DCM
GSE141910,DCM_vs_Control,MYO1E,0.1424973299334127,0.05622505666860881,2.534409716530723,0.011725536932992903,0.019584524110474344,11.675725632879749,11.533228302946334,166,166,0.1424973299334127,up_in_DCM
GSE141910,DCM_vs_Control,LOC101927468,0.22637293546989623,0.08932460287141654,2.5342730691538793,0.011730021430407495,0.019590246886886237,6.521653844464628,6.295280908994733,166,166,0.22637293546989623,up_in_DCM
