"feature_id","ensembl_gene_id","gene_symbol","cohort","disease","comparison","model","n_hcm","n_control","n_samples_model","mean_expression_hcm","mean_expression_control","log2FC","SE","moderated_t","p_value","FDR","B_statistic","average_expression","abs_log2FC"
"ENSG00000202415","ENSG00000202415","ENSG00000202415","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.9292761612799,11.0048305325615,-0.380945738296397,0.202645976068807,-1.87985838991962,0.0616359014879695,0.138605742757439,-5.21951995470012,4.58165395885041,0.380945738296397
"ENSG00000169684","ENSG00000169684","CHRNA5","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.2359581056338,13.4284287323445,-0.31722009033442,0.168787167530131,-1.87940881393008,0.0616975603787328,0.138729387819784,-5.22034665033363,8.73669493929488,0.31722009033442
"ENSG00000134058","ENSG00000134058","CDK7","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.5311603415541,10.1368940895835,-0.114035522931576,0.0606794507237946,-1.87931040197862,0.0617110643404283,0.138744739593037,-5.22052758815883,11.4980368404807,0.114035522931576
"ENSG00000236480","ENSG00000236480","ENSG00000236480","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.8101695655065,12.7317693755726,0.449343432785232,0.239113067331395,1.87920901939864,0.061724978506246,0.138761010205355,-5.22071397816115,4.25907676006187,0.449343432785232
"ENSG00000165637","ENSG00000165637","VDAC2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,5.69986327050163,5.47568902088027,-0.0952520155498744,0.0506977004869149,-1.87882319385391,0.0617779547377905,0.138865081385184,-5.22142322269292,15.7825058721265,0.0952520155498744
"ENSG00000177374","ENSG00000177374","HIC1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,7.5473265030675,8.89936443393314,0.52193968038845,0.27781416744897,1.87873672959577,0.0617898320153645,0.138876757420646,-5.22158214652747,9.11299808454887,0.52193968038845
"ENSG00000043591","ENSG00000043591","ADRB1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.351663462181,12.1667048872224,-0.283514210722164,0.150917361190305,-1.87860567191244,0.0618078385595268,0.138902205375314,-5.22182302094247,12.1849952322542,0.283514210722164
"ENSG00000145743","ENSG00000145743","FBXL17","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,6.5888603323703,6.58791515216367,-0.206232791686228,0.109789068505056,-1.87844559111757,0.0618298386441246,0.13893662163317,-5.22211721573852,13.7487240889587,0.206232791686228
"ENSG00000144199","ENSG00000144199","FAHD2B","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,7.8749874951061,7.93082030011158,0.261732016534042,0.139342105945516,1.87834118594693,0.0618441906836042,0.138953846534326,-5.22230907744218,12.0256199983399,0.261732016534042
"ENSG00000139200","ENSG00000139200","PIANP","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.0355604151766,11.0203086601677,0.386839513955563,0.205993758271676,1.87791861851162,0.0619023072314204,0.139069388819043,-5.22308550975327,6.01019706883618,0.386839513955563
