"mean_normalized_count","log2FC","SE","test_stat","p_value","FDR","gene_symbol","feature_id","cohort","disease","comparison","model","n_hcm","n_control","abs_log2FC"
856.830472948494,-1.66356199193981,0.0962999846051775,-17.2747898014759,7.28383094904381e-67,1.79652888884724e-63,"ZDHHC9","ZDHHC9","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.66356199193981
166.16514683615,-4.58502187286099,0.266324010069534,-17.2159538738693,2.01598606742095e-66,4.61718409041323e-63,"FPR1","FPR1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.58502187286099
2666.94164273134,-1.93821165066693,0.113152496337504,-17.1291992081708,8.98833676266628e-66,1.92134686638754e-62,"FOSL2","FOSL2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.93821165066693
1096.50359541669,4.27234655126408,0.250020655254552,17.087974379214,1.82400512737295e-65,3.6553062752554e-62,"SFRP4","SFRP4","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.27234655126408
57.8763417454219,-5.27947691625167,0.311243818709544,-16.9625116994806,1.55550691096193e-64,2.93386903488725e-61,"IL1R2","IL1R2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,5.27947691625167
954.307682889357,-2.24289640432449,0.132290526026905,-16.9543237273721,1.78806862537127e-64,3.18514624466136e-61,"OSMR","OSMR","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.24289640432449
317.075203399578,2.17322933189771,0.128696022791006,16.886530638378,5.65309486331594e-64,9.54004387880854e-61,"SRRM4","SRRM4","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.17322933189771
243.099103213679,-4.47078661961205,0.265682868164923,-16.8275306966229,1.53366102625504e-63,2.45876535729207e-60,"RARRES1","RARRES1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.47078661961205
34.7461015209057,-3.19478794916873,0.192768383247222,-16.5731947083432,1.08884023031937e-61,1.66250348309334e-58,"SIGLEC9","SIGLEC9","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.19478794916873
113.695908491239,-1.69267290986671,0.102217264351798,-16.5595598806195,1.36589511021835e-61,1.99073003700188e-58,"BEST1","BEST1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.69267290986671
5396.74871712692,-2.90504506099524,0.175739523098416,-16.5304025513281,2.21658361344882e-61,3.09011030354883e-58,"FKBP5","FKBP5","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.90504506099524
874.901864795193,-3.26496376849947,0.199360040630733,-16.3772226278136,2.78157684191744e-60,3.7161866608017e-57,"MT1X","MT1X","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.26496376849947
667.038534394841,-2.59023338562312,0.158258114007172,-16.3671442811819,3.28259275428461e-60,4.21012216293527e-57,"CTSC","CTSC","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.59023338562312
4279.44209414275,1.24977473413679,0.0769702690193178,16.2371101213526,2.75605285544262e-59,3.39884918295816e-56,"YPEL2","YPEL2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.24977473413679
121.93283994832,-2.84761690014784,0.176602065187064,-16.1244824466324,1.7169137010304e-58,2.0389304040681e-55,"IL18R1","IL18R1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.84761690014784
179.701467482961,-2.49071160057534,0.154766287292,-16.0933730734011,2.83937383987271e-58,3.25148867148852e-55,"THEMIS2","THEMIS2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.49071160057534
377.949224098469,-4.8306380081338,0.300251173354281,-16.0886565543372,3.06414330253364e-58,3.3878858914634e-55,"S100A8","S100A8","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.8306380081338
17613.7308265581,-1.53146580039165,0.0962119329626489,-15.9176284399794,4.78160178267111e-57,5.11057598531888e-54,"ATP1A1","ATP1A1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,1.53146580039165
